question,intent,topic,chapter,verse,answer
What is the weather today in New York?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
How to write python code for binary search algorithm?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
Who won the football match yesterday?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
What is the recipe for chocolate cake?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
Can you book a flight ticket for me?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
What is the capital of France?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
Solve this calculus differential equation.,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
Write a javascript function for sorting arrays.,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
Tell me about latest stock prices in Nasdaq.,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
What is the latest movie released in theatres?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
How to fix a leaking plumbing faucet in bathroom?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
What is the score of the cricket game?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
Tell me a joke about computers.,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
How do I install windows operating system?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
What is the speed of light in vacuum?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
Who is the president of the United States?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
How to bake sourdough bread at home?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
Can you write a poem about artificial intelligence?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
What is the distance between Earth and Mars?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
What is the best restaurant nearby?,out_of_domain,"general, out_of_scope",0,0,"I’m designed to provide guidance based on the Bhagavad Gita. Please ask me a question related to life, decisions, emotions, duty, relationships, or other topics that can be explored through its teachings."
